channel	counts
0	37142
1	37299
2	37109
3	37590
4	37186
5	36904
6	37111
7	37006
8	37363
9	37111
10	36726
11	37626
12	36815
13	37340
14	37204
15	37356
16	37364
17	36987
18	37294
19	37350
20	37157
21	37206
22	36799
23	37754
24	36954
25	37104
26	37107
27	36887
28	37170
29	37072
30	36901
31	37176
32	36828
33	37445
34	36736
35	37361
36	37111
37	36914
38	37217
39	37322
40	37097
41	36729
42	37016
43	37173
44	37117
45	37154
46	37510
47	37036
48	37077
49	36921
50	36627
51	37021
52	36603
53	37330
54	37093
55	37117
56	37131
57	36857
58	36936
59	36789
60	36977
61	37171
62	36960
63	37198
64	36899
65	36726
66	37333
67	37194
68	37286
69	36625
70	36540
71	37182
72	37061
73	37270
74	36745
75	36978
76	37179
77	36710
78	36900
79	36634
80	36784
81	36917
82	36783
83	36812
84	36830
85	36835
86	36779
87	36820
88	37252
89	36939
90	36728
91	36961
92	36926
93	37226
94	36964
95	36286
96	36838
97	36588
98	37151
99	36659
100	36926
101	36964
102	36134
103	36644
104	36972
105	36559
106	36979
107	36810
108	36862
109	36878
110	36672
111	37088
112	36750
113	36883
114	36500
115	36549
116	36878
117	36739
118	36925
119	36711
120	36202
121	36764
122	36904
123	36488
124	36846
125	36455
126	37062
127	36629
128	36836
129	36460
130	36642
131	36633
132	36448
133	36514
134	36518
135	36530
136	36643
137	36149
138	36503
139	36575
140	36080
141	36432
142	36628
143	36294
144	36279
145	36138
146	36335
147	36006
148	36465
149	36201
150	36001
151	35956
152	36165
153	36168
154	35929
155	36069
156	36408
157	35972
158	36338
159	36374
160	35827
161	36094
162	36048
163	35983
164	36114
165	35940
166	35968
167	35878
168	35954
169	36063
170	35225
171	35887
172	35877
173	35729
174	35573
175	35528
176	35491
177	35370
178	35922
179	35343
180	35164
181	35734
182	35403
183	35356
184	35699
185	35000
186	35584
187	35247
188	35195
189	34892
190	35128
191	34910
192	34572
193	34720
194	34837
195	34458
196	34777
197	34907
198	34400
199	34364
200	34268
201	34645
202	34265
203	34086
204	34156
205	33731
206	33983
207	33786
208	33610
209	33740
210	33269
211	33290
212	32867
213	32879
214	32907
215	32564
216	33102
217	32675
218	32332
219	32869
220	32223
221	32453
222	31816
223	31732
224	31581
225	31527
226	31541
227	31119
228	30823
229	30696
230	30147
231	30243
232	29918
233	29723
234	29402
235	28889
236	28873
237	28513
238	27740
239	28006
240	27585
241	27134
242	26714
243	26519
244	26070
245	25006
246	25310
247	24649
248	24138
249	23788
250	23102
251	22768
252	22052
253	21421
254	20941
255	20280
256	20100
257	19431
258	18765
259	18269
260	17632
261	17495
262	16931
263	16442
264	15836
265	15734
266	15561
267	15039
268	14903
269	14863
270	14841
271	14868
272	14850
273	15203
274	15293
275	15828
276	15952
277	16672
278	16711
279	17612
280	17919
281	18223
282	19146
283	19676
284	20164
285	20695
286	21091
287	21676
288	22418
289	23041
290	23354
291	23905
292	24412
293	24948
294	25556
295	25573
296	26133
297	26780
298	26922
299	27316
300	27710
301	28468
302	28608
303	28890
304	29227
305	29194
306	29863
307	30120
308	30151
309	30742
310	30795
311	30829
312	31149
313	31023
314	31996
315	31317
316	31739
317	32329
318	32052
319	32830
320	32392
321	32898
322	33005
323	33191
324	33612
325	33118
326	33428
327	33916
328	33514
329	33637
330	33796
331	33848
332	33764
333	33669
334	39954
335	34499
336	34098
337	39418
338	34460
339	34882
340	34318
341	35155
342	35058
343	34926
344	35086
345	34680
346	35188
347	35092
348	35092
349	35135
350	35279
351	35471
352	35492
353	35041
354	35704
355	35370
356	35675
357	35567
358	35864
359	35954
360	35587
361	35790
362	36153
363	35706
364	36709
365	36054
366	36758
367	36088
368	35584
369	36097
370	35959
371	35908
372	35829
373	35822
374	36392
375	35831
376	36237
377	36291
378	36061
379	36066
380	35861
381	36354
382	36376
383	35911
384	36671
385	36172
386	36583
387	36570
388	36043
389	36975
390	36303
391	36443
392	36575
393	36583
394	36746
395	36828
396	36439
397	37180
398	36295
399	36463
400	36671
401	36280
402	36813
403	36358
404	37153
405	36841
406	36672
407	36815
408	36542
409	36561
410	36506
411	36591
412	37044
413	36457
414	37184
415	36860
416	36335
417	36733
418	36414
419	37059
420	36969
421	36889
422	36998
423	36897
424	37040
425	36939
426	36831
427	37287
428	36360
429	37149
430	36941
431	36957
432	37432
433	36481
434	37217
435	36775
436	36945
437	37023
438	36616
439	37461
440	36641
441	36590
442	37517
443	36721
444	37170
445	37456
446	37083
447	37611
448	36675
449	37230
450	37165
451	36918
452	37072
453	36782
454	37447
455	37067
456	36739
457	37499
458	36503
459	36991
460	37418
461	36740
462	40136
463	36495
464	37043
465	37432
466	36657
467	37385
468	36857
469	37135
470	37368
471	36573
472	37221
473	36818
474	37290
475	37179
476	36827
477	37410
478	36451
479	37214
480	38010
481	36785
482	37265
483	37094
484	37278
485	37153
486	37195
487	37330
488	36879
489	37009
490	37096
491	37159
492	37592
493	37098
494	37322
495	37297
496	37252
497	37543
498	37118
499	37342
500	36881
501	37065
502	37435
503	37297
504	37210
505	37472
506	36682
507	37800
508	37444
509	36861
510	37535
511	36830
512	37532
513	37025
514	37502
515	37209
516	36905
517	37405
518	36773
519	37419
520	37520
521	36698
522	37634
523	37144
524	37322
525	37424
526	36771
527	37817
528	37417
529	37036
530	37799
531	36929
532	37578
533	37047
534	37660
535	37631
536	36939
537	37459
538	37167
539	37273
540	37159
541	36787
542	37592
543	37201
544	37223
545	37394
546	36904
547	37579
548	36985
549	37264
550	37536
551	37004
552	37280
553	36987
554	37523
555	37261
556	36799
557	37304
558	37009
559	36817
560	37408
561	36771
562	37239
563	36880
564	36980
565	37666
566	37068
567	37309
568	37042
569	37321
570	37246
571	36600
572	37361
573	37133
574	37413
575	37288
576	36715
577	37194
578	37064
579	37004
580	37415
581	36919
582	37622
583	37105
584	36996
585	37135
586	36931
587	37567
588	36935
589	37251
590	37385
591	36725
592	37210
593	36978
594	36810
595	37398
596	36882
597	37030
598	36733
599	36824
600	37554
601	36933
602	37308
603	37215
604	36899
605	37476
606	36682
607	36621
608	37420
609	37007
610	37478
611	36476
612	37233
613	36900
614	36845
615	37305
616	36417
617	37279
618	37151
619	36469
620	37279
621	36574
622	37251
623	37063
624	36488
625	37119
626	36487
627	37026
628	37042
629	36923
630	36926
631	36149
632	37145
633	36874
634	36379
635	36969
636	36691
637	37094
638	37063
639	36448
640	36947
641	36578
642	36452
643	36998
644	36248
645	37172
646	36441
647	36877
648	36763
649	36588
650	37053
651	36536
652	36815
653	36769
654	36450
655	36732
656	36123
657	36309
658	36943
659	36331
660	36787
661	36329
662	36308
663	36925
664	36227
665	36587
666	36256
667	36395
668	36728
669	35770
670	36662
671	35778
672	36158
673	36437
674	35898
675	36291
676	35969
677	35987
678	36698
679	35929
680	36181
681	35962
682	36103
683	36190
684	35748
685	36268
686	35665
687	35853
688	35978
689	35298
690	35943
691	35427
692	35780
693	35596
694	35119
695	35871
696	35100
697	35433
698	35655
699	34993
700	35761
701	35196
702	35374
703	35380
704	35013
705	35437
706	35122
707	35084
708	35470
709	34724
710	34852
711	34458
712	34257
713	34619
714	34132
715	34738
716	34300
717	34257
718	34427
719	33552
720	34233
721	34192
722	33791
723	33732
724	33268
725	33710
726	33109
727	33668
728	33143
729	32885
730	32952
731	32692
732	32700
733	32756
734	31836
735	32367
736	31632
737	31988
738	31772
739	31127
740	31421
741	30664
742	30672
743	30562
744	29862
745	30098
746	29400
747	29257
748	29183
749	28605
750	28624
751	28063
752	27447
753	27424
754	26641
755	26580
756	26039
757	25694
758	25178
759	24335
760	24317
761	23659
762	23129
763	22770
764	21754
765	21516
766	20784
767	20118
768	19691
769	18916
770	18658
771	18226
772	17521
773	17227
774	16654
775	16414
776	15837
777	15573
778	15546
779	14951
780	14935
781	14888
782	14744
783	14907
784	14878
785	15426
786	15707
787	15778
788	16392
789	16857
790	17239
791	17617
792	17813
793	18760
794	18971
795	19997
796	20506
797	20640
798	21706
799	21792
800	22681
801	23096
802	23280
803	24288
804	24737
805	25118
806	25288
807	25669
808	26319
809	26369
810	27440
811	27355
812	27491
813	28331
814	28296
815	28671
816	29243
817	29267
818	29582
819	29505
820	30332
821	30337
822	30251
823	30899
824	30643
825	31679
826	31796
827	30937
828	31588
829	31110
830	31951
831	31965
832	32112
833	32149
834	31981
835	32544
836	32790
837	32747
838	32997
839	32946
840	33169
841	32876
842	32855
843	33610
844	33279
845	33596
846	33652
847	33401
848	34074
849	33911
850	34101
851	34241
852	33870
853	34646
854	33730
855	34090
856	34197
857	34291
858	34674
859	34256
860	34531
861	34679
862	34377
863	34701
864	34642
865	34550
866	35180
867	34935
868	35230
869	34818
870	35218
871	35098
872	34825
873	35264
874	34970
875	35499
876	35625
877	35062
878	35546
879	35215
880	35532
881	35310
882	34771
883	35494
884	35518
885	35721
886	35291
887	35182
888	35858
889	35419
890	35519
891	35880
892	35599
893	35818
894	35954
895	35759
896	35993
897	35388
898	35674
899	35670
900	35734
901	36006
902	35582
903	36015
904	35489
905	35965
906	35976
907	35951
908	36145
909	35975
910	36095
911	35828
912	35780
913	35780
914	35998
915	35979
916	36380
917	35643
918	36191
919	35929
920	36280
921	36263
922	35987
923	36572
924	35874
925	36453
926	36050
927	35801
928	36277
929	36018
930	36378
931	36659
932	36186
933	36371
934	36220
935	36254
936	36555
937	36127
938	36394
939	35849
940	36418
941	36643
942	36182
943	36763
944	36059
945	36449
946	36353
947	36479
948	36824
949	36068
950	36671
951	36347
952	36247
953	36241
954	36334
955	36253
956	36325
957	36551
958	36596
959	36556
960	36578
961	36840
962	36128
963	36769
964	36485
965	36562
966	36486
967	36504
968	36462
969	36540
970	36821
971	36829
972	36264
973	36792
974	36313
975	36746
976	36802
977	36663
978	36517
979	36475
980	36680
981	36668
982	36711
983	36729
984	36486
985	36456
986	36456
987	36776
988	36871
989	36294
990	36841
991	36415
992	36111
993	37048
994	36468
995	36866
996	36962
997	36480
998	36629
999	36472
1000	36382
1001	36960
1002	36497
1003	37093
1004	36604
1005	37144
1006	36624
1007	36666
1008	36306
1009	36596
1010	36714
1011	36959
1012	36640
1013	36758
1014	36583
1015	36510
1016	36796
1017	36652
1018	36500
1019	36821
1020	36651
1021	36874
1022	36608
1023	36793
